parameter,parameter_label,parameter_group,parameter_unit,metric,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
sprung_mass_kg,sprung mass,mass properties,kg,handwheel_torque_min,144.576,160.64,176.704,-17.86424800531235,-18.78883108901611,-19.68487157722946,-1.8206235719171069,-0.056667815360965705,-9.689924632839121,9.689924632839121,4.920918599583702,-4.769006033255419,decreases_with_parameter,5
sprung_mass_kg,sprung mass,mass properties,kg,handwheel_torque_max,144.576,160.64,176.704,-1.781570912447376,-1.915912670053007,-2.051743359624794,-0.27017244717741806,-0.008409251966428596,-14.101501148794183,14.101501148794183,7.011893584999057,-7.089607563795125,decreases_with_parameter,7
sprung_mass_kg,sprung mass,mass properties,kg,roadwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,144.576,160.64,176.704,-0.40987772175715687,-0.4125041854252861,-0.41490520068485026,-0.005027478927693396,-0.00015648278534902246,-1.2187704041136298,1.2187704041136298,0.636712004611879,-0.5820583995017506,decreases_with_parameter,5
sprung_mass_kg,sprung mass,mass properties,kg,handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,144.576,160.64,176.704,-1.6800100496670467,-1.6919195160863945,-1.7028193452840268,-0.022809295616980085,-0.0007099506852894695,-1.3481312438395785,1.3481312438395785,0.7039026564866236,-0.6442285873529547,decreases_with_parameter,6
sprung_mass_kg,sprung mass,mass properties,kg,sideslip_gradient_velocity_slope_deg_per_g_per_mps,144.576,160.64,176.704,-0.18704078658646486,-0.18903935708124467,-0.18650645606116628,0.0005343305252985819,1.6631303700777567e-05,0.2826557038431628,0.2826557038431628,1.057224551351424,1.339880255194587,increases_with_parameter,12
sprung_mass_kg,sprung mass,mass properties,kg,understeer_gradient_velocity_slope_deg_per_g_per_mps,144.576,160.64,176.704,0.024508246876850572,0.021970533913641836,0.020220857898587786,-0.004287388978262786,-0.00013344711710230281,-19.51426849759296,19.51426849759296,11.550529327978833,-7.963739169614126,decreases_with_parameter,5
sprung_mass_kg,sprung mass,mass properties,kg,roll_gradient_velocity_slope_deg_per_g_per_mps,144.576,160.64,176.704,0.0012852360242181994,0.001918762930248763,0.002112119336655557,0.0008268833124373577,2.5737154894091054e-05,43.0946053523222,43.0946053523222,-33.01746641250926,10.077138939812949,increases_with_parameter,6
sprung_mass_kg,sprung mass,mass properties,kg,handwheel_torque_peak_abs,144.576,160.64,176.704,17.86424800531235,18.78883108901611,19.68487157722946,1.8206235719171069,0.056667815360965705,9.689924632839121,9.689924632839121,-4.920918599583702,4.769006033255419,increases_with_parameter,5
sprung_cg_x_m,sprung CG x,mass properties,m,metric_target_velocity_mps,-1.0,-0.92,-0.8400000000000001,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,10
sprung_cg_x_m,sprung CG x,mass properties,m,metric_source_velocity_mps,-1.0,-0.92,-0.8400000000000001,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,10
sprung_cg_x_m,sprung CG x,mass properties,m,ay_min,-1.0,-0.92,-0.8400000000000001,1.070910813108542,1.074217469796285,1.073866028629369,0.0029552155208270037,0.018470097005168783,0.275104027249476,0.275104027249476,-0.30782004395906515,-0.0327160167095891,increases_with_parameter,9
