candidate_id,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank
ampace_jp30_125s3p,73.68581979746614,0.0830124822703858,1.260206677512461,100.0,1.260206677512461,100.0,554.8200649167047,109
molicel_p30b_125s3p,73.85247936531982,0.0820185422330715,1.2726001516479553,100.0,1.2726001516479553,100.0,545.7217492388703,114
ampace_jp50_110s2p,74.13216634375631,0.0804173222838481,1.2930424925588873,100.0,1.2930424925588873,100.0,534.5709966288049,122
tenpower_50xg_110s2p,74.17419394132408,0.0804598838397278,1.291626241739128,100.0,1.291626241739128,100.0,533.6826341096144,123
molicel_p50b_110s2p,74.44932157924232,0.079221642643598,1.30696665936728,100.0,1.30696665936728,100.0,545.1255585643038,117
tenpower_30xg_120s3p,74.57900047726059,0.0792249833365953,1.3046390741554417,100.0,1.3046390741554417,100.0,549.1398685083582,112
reliance_rs50_110s2p,74.59069316192257,0.0805336423706966,1.2832377049422987,100.0,1.2832377049422987,100.0,531.168704315669,124
ampace_jp30_120s3p,74.61511621110647,0.0792814182546489,1.3030793614114144,100.0,1.3030793614114144,100.0,545.4157302749416,116
molicel_p30b_120s3p,74.83359557539352,0.0781559981921246,1.3179840967422878,100.0,1.3179840967422878,100.0,535.308820574167,121
tenpower_30xg_115s3p,75.55310356216366,0.0754870511352868,1.3515880007705747,100.0,1.3515880007705747,100.0,539.5884286695348,119
ampace_jp30_115s3p,75.5955749801923,0.075528415640133,1.350088840244908,100.0,1.350088840244908,100.0,535.618934091855,120
molicel_p30b_115s3p,75.82275735547768,0.074560651746265,1.3635147087706465,100.0,1.3635147087706465,100.0,524.8711736427774,126
tenpower_30xg_110s3p,76.70061970458431,0.0717164521915958,1.4013655175358566,100.0,1.4013655175358566,100.0,528.5953870216294,125
ampace_jp30_110s3p,76.74220825949564,0.0717503463821165,1.399944448738759,100.0,1.399944448738759,100.0,524.4350839729527,127
molicel_p30b_110s3p,76.90758820000693,0.0709388118599661,1.4129148645759455,100.0,1.4129148645759455,100.0,513.6319355661241,128
