speed_mps,ay_mps2,ax_accel_mps2,ax_brake_mps2,accel_feasible,brake_feasible
5.000000000000000000e+00,2.876617333333333448e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.928919466666666693e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.981221599999999938e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,3.033523733333333183e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,3.085825866666666784e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,3.138128000000000029e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-3.138128000000000029e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-3.085825866666666784e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-3.033523733333333183e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.981221599999999938e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.928919466666666693e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.876617333333333448e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.824315200000000203e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.772013066666666603e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.719710933333333358e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.667408800000000113e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.615106666666666513e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.562804533333333268e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.510502400000000023e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.458200266666666778e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.405898133333333533e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.353595999999999933e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.301293866666666688e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.248991733333333443e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.196689599999999842e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.144387466666666597e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.092085333333333352e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.039783200000000107e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.987481066666666862e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.935178933333333262e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.882876800000000017e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.830574666666666772e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.778272533333333172e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.725970399999999927e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.673668266666666682e+01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.621366133333333437e+01,nan,-2.353595999999999577e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-1.569064000000000014e+01,nan,-3.334261000000001474e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-1.516761866666666592e+01,3.432327499999999754e-01,-4.118793000000000148e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-1.464459733333333347e+01,1.372930999999999901e+00,-4.903324999999998823e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-1.412157600000000102e+01,2.402629249999999939e+00,-5.687857000000001051e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-1.359855466666666679e+01,3.260711124999999821e+00,-6.276256000000000057e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,-1.307553333333333256e+01,4.290409374999999415e+00,-7.060787999999998732e+00,1.000000000000000000e+00,1.000000000000000000e+00
