stage,variant_id,maneuver,speed_m_per_s,ax_g,dz_front_mm,dz_rear_mm,rh_front_m,rh_rear_m,downforce_n,aero_front_fraction,fz_front_n,fz_rear_n,sigma_fz_front_n,sigma_fz_rear_n,grip_n,rh_clamped,weight
anti-dive,front06_ad+90,braking,25.0,1.4,-5.010541289869821,13.995007276867977,0.0536724905005664,0.08672422696633071,943.8685726062497,0.5057462698595242,1181.0425742676812,571.0157691864846,28.195705512067377,3.6945864484163855,7993.79195774368,False,0.08333333333333333
validation,chosen,rwd_acceleration,10.0,0.3,3.611366628002821,-1.4317704175323167,0.072926813690021,0.08072974851963542,139.02323396729224,0.4982094145659746,584.260512957279,765.375161177408,0.0,4.977330397418831,3808.6880669349644,False,0.08333333333333333
validation,chosen,rwd_acceleration,10.0,0.6,7.222733256005642,-2.8635408350646334,0.07659589643045679,0.07933577204116012,135.21824019353667,0.49584592601955974,513.8468074107658,833.8863698370435,0.0,9.954660794837663,4040.6976127461144,False,0.08333333333333333
validation,chosen,rwd_acceleration,10.0,0.9,10.834099884008463,-4.2953112525969495,0.08026500242039376,0.07794222132062062,131.39444543275647,0.4934093710043132,443.432655680928,902.388624186491,0.0,14.931991192256497,4254.711291248177,False,0.08333333333333333
validation,chosen,rwd_acceleration,15.0,0.3,3.611366628002821,-1.4317704175323167,0.07064842128789466,0.07864318268168162,314.2399557389558,0.49870285091079375,627.985351852872,809.2586831676468,0.0,4.977330397418831,3959.4457461207658,False,0.08333333333333333
validation,chosen,rwd_acceleration,15.0,0.6,7.222733256005642,-2.8635408350646334,0.07438425949140816,0.07729340167027844,306.0137512355134,0.49649687374182605,556.2905360542367,876.8403967145609,0.0,9.954660794837663,4177.131344809864,False,0.08333333333333333
validation,chosen,rwd_acceleration,15.0,0.9,10.834099884008463,-4.2953112525969495,0.0781268271325359,0.0759488239654379,297.31038996166166,0.4940933592079866,484.4665749955065,944.3126771363652,0.0,14.931991192256497,4377.019139250883,False,0.08333333333333333
validation,chosen,rwd_acceleration,20.0,0.3,3.611366628002821,-1.4317704175323167,0.06749798993456287,0.07573975527609567,557.2870172642554,0.49818637621715434,688.4455707761956,870.3219950069731,0.0,4.977330397418831,4157.020855877019,False,0.08333333333333333
validation,chosen,rwd_acceleration,20.0,0.6,7.222733256005642,-2.8635408350646334,0.07123366043604298,0.07439960150943542,548.6622994708725,0.49732184196169366,616.7539733429124,937.7012335435647,0.0,9.954660794837663,4358.4115291020225,False,0.08333333333333333
validation,chosen,rwd_acceleration,20.0,0.9,10.834099884008463,-4.2953112525969495,0.07508153827795833,0.07312600867674307,532.9310719006746,0.4949681904870933,542.9089945002215,1003.6805986011566,0.0,14.931991192256497,4538.766979748857,False,0.08333333333333333
validation,chosen,rwd_acceleration,25.0,0.3,3.611366628002821,-1.4317704175323167,0.06355476322254673,0.0720343723579773,864.495883932749,0.49622266940989757,764.1203985638114,948.2516005536041,0.0,4.977330397418831,4388.543821555585,False,0.08333333333333333
validation,chosen,rwd_acceleration,25.0,0.6,7.222733256005642,-2.8635408350646334,0.06732913292809,0.07073751012851509,852.5648378041965,0.4958286128896944,691.6861211125071,1014.7203549406321,0.0,9.954660794837663,4567.600630938062,False,0.08333333333333333
validation,chosen,rwd_acceleration,25.0,0.9,10.834099884008463,-4.2953112525969495,0.07107624790293114,0.06943512386384908,841.9122450515379,0.4959135887953834,619.7748917908527,1081.3052878859571,0.0,14.931991192256497,4730.007361690713,False,0.08333333333333333
validation,chosen,braking,10.0,0.5,-2.651252808359389,4.998216884595723,0.06656554616604238,0.08709625637979632,145.47969352266483,0.5021251512554408,770.9698649924713,581.894038919902,8.018105633319577,1.3194951601486673,6927.207970688444,False,0.08333333333333333
validation,chosen,braking,10.0,1.0,-5.302505616718778,9.996433769191446,0.06388932512699595,0.09207026383266677,147.45634806044845,0.5018932675866912,886.9591497878798,466.8930813933853,16.036211266639153,2.6389903202973346,6796.684916634744,False,0.08333333333333333
validation,chosen,braking,10.0,1.4,-7.423507863406289,13.995007276868023,0.06176202431861964,0.09605359023436637,148.3394383577734,0.5005351357245135,979.4881198069121,374.8056565230155,22.45069577329481,3.6945864484162683,6617.792390749413,False,0.08333333333333333
validation,chosen,braking,15.0,0.5,-2.651252808359389,4.998216884595723,0.06415922388941142,0.08493490343084834,328.7524073418481,0.5031413163075775,817.1498179197708,627.3504429021941,8.018105633319577,1.3194951601486673,7272.455582800934,False,0.08333333333333333
validation,chosen,braking,15.0,1.0,-5.302505616718778,9.996433769191446,0.06146148394014263,0.08988158845378343,332.704265756274,0.5025279631476126,933.5520741111616,512.9241159180164,16.036211266639153,2.6389903202973346,7145.206085982358,False,0.08333333333333333
